,name,scores_avg
448,Arietta of Spirits,68.0
449,Arise: A Simple Story,79.66666666666667
450,Arizona Sunshine,63.0
451,Arkadian Warriors,59.0
452,Arkanoid DS,61.0
453,Arkham Horror: Mother's Embrace,48.0
454,Arktika.1,71.0
455,ArmA II,77.0
456,ArmA II: Operation Arrowhead,73.0
457,ArmA: Combat Operations,74.0
458,Arma 3,74.0
459,Armada 2526,66.0
460,Armadillo Run,88.0
461,Armageddon Riders,62.0
462,Armello,76.33333333333333
463,Armikrog,56.0
464,Armillo,72.0
465,Armored Core 4,65.0
466,Armored Core V,66.5
467,Armored Core: For Answer,63.0
468,Armored Core: Formula Front - Extreme Battle,66.0
469,Armored Core: Last Raven,59.0
470,Armored Core: Nine Breaker,57.0
471,Armored Core: Verdict Day,65.5
472,Army Corps of Hell,57.0
473,Army of Two,73.0
474,Army of Two: The 40th Day,65.33333333333333
475,Army of Two: The Devil's Cartel,56.0
476,Arrog,68.0
477,Arslan: The Warriors of Legend,69.0
478,Art Academy,75.0
479,Art Academy: Home Studio,82.0
480,Art Academy: Lessons for Everyone,81.0
481,Art Style: AQUIA,70.0
482,Art Style: BASE 10,77.0
483,Art Style: CUBELLO,73.0
484,Art Style: ORBIENT,82.0
485,Art Style: PiCTOBiTS,83.0
486,Art Style: ROTOHEX,70.0
487,Art Style: Rotozoa,68.0
488,Art Style: light trax,76.0
489,Art of Balance,85.0
490,Art of Balance Touch!,82.0
491,Art of Fighting Anthology,60.0
492,Art of Murder: Cards of Destiny,57.0
493,Art of Murder: FBI Confidential,50.0
494,Arthur and the Invisibles,66.0
495,Arthur and the Invisibles: The Game,65.0
496,Artifact,76.0
497,Ary and the Secret of Seasons,58.5
498,As Far As The Eye,70.0
499,Asemblance,61.0
500,Asgard's Wrath,88.0
501,Ash of Gods: Redemption,65.0
502,Ashen,79.5
503,Ashes Cricket,73.0
504,Ashes of the Singularity,69.0
505,Ashwalkers: A Survival Journey,61.0
506,Asphalt 3D,43.0
507,Asphalt 4: Elite Racing,78.0
508,Asphalt 9: Legends,61.0
509,Asphalt: Injection,49.0
510,Aspire: Ina's Tale,71.5
511,Assassin's Creed,81.0
512,Assassin's Creed Chronicles: China,67.66666666666667
513,Assassin's Creed Chronicles: India,63.333333333333336
514,Assassin's Creed Chronicles: Russia,58.333333333333336
515,Assassin's Creed II,89.0
516,Assassin's Creed II: Battle of Forli,58.0
517,Assassin's Creed II: Bonfire of the Vanities,67.0
518,Assassin's Creed II: Discovery,69.0
519,Assassin's Creed III,83.5
520,Assassin's Creed III - The Betrayal,67.0
521,Assassin's Creed III - The Infamy,73.0
522,Assassin's Creed III - The Redemption,63.0
523,Assassin's Creed III Remastered,69.66666666666667
524,Assassin's Creed III: Liberation,70.0
525,Assassin's Creed IV: Black Flag,85.25
526,Assassin's Creed IV: Black Flag - Freedom Cry,73.5
527,Assassin's Creed Liberation HD,64.0
528,Assassin's Creed Odyssey,85.33333333333333
529,Assassin's Creed Origins,83.33333333333333
530,Assassin's Creed Origins: The Curse of the Pharaohs,83.0
531,Assassin's Creed Origins: The Hidden Ones,73.0
532,Assassin's Creed Rogue,72.66666666666667
533,Assassin's Creed Rogue Remastered,71.0
534,Assassin's Creed Syndicate,76.0
535,Assassin's Creed Syndicate: Jack the Ripper,72.0
536,Assassin's Creed Unity,70.66666666666667
537,Assassin's Creed Unity: Dead Kings,66.0
538,Assassin's Creed Valhalla,82.4
539,Assassin's Creed Valhalla: The Siege of Paris,70.0
540,Assassin's Creed Valhalla: Wrath of the Druids,71.0
541,Assassin's Creed: Altair's Chronicles,58.0
542,Assassin's Creed: Bloodlines,63.0
543,Assassin's Creed: Brotherhood,89.0
544,Assassin's Creed: Brotherhood - The Da Vinci Disappearance,75.5
545,Assassin's Creed: Director's Cut Edition,79.0
546,Assassin's Creed: Revelations,80.0
547,Assassin's Creed: The Ezio Collection,71.5
548,Assassin's Creed: The Rebel Collection,80.0
549,Assault Android Cactus,82.66666666666667
550,Assault Android Cactus+,86.0
551,Assault Heroes,79.0
552,Assault Heroes 2,75.0
553,Assault Suit Leynos,67.0
554,Assetto Corsa,73.66666666666667
